step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,2,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,13,5,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,8,4,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,7,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,12,3,,,,Task assigned to UAV
0,0,TASK_START,2,2,,,,Task starts execution
0,0,TASK_START,7,1,,,,Task starts execution
0,0,TASK_START,8,4,,,,Task starts execution
0,0,TASK_START,12,3,,,,Task starts execution
0,0,TASK_START,13,5,,,,Task starts execution
1,1,TASK_COMPLETE,7,1,,,,
1,1,TASK_COMPLETE,2,2,,,,
1,1,TASK_COMPLETE,12,3,,,,
1,1,TASK_COMPLETE,8,4,,,,
1,1,TASK_COMPLETE,13,5,,,,
2,2,TASK_ASSIGNED,9,5,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,30,4,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,19,2,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,1,1,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,15,3,,,,Task assigned to UAV
2,2,TASK_START,1,1,,,,Task starts execution
2,2,TASK_START,9,5,,,,Task starts execution
2,2,TASK_START,15,3,,,,Task starts execution
2,2,TASK_START,19,2,,,,Task starts execution
2,2,TASK_START,30,4,,,,Task starts execution
3,3,TASK_COMPLETE,1,1,,,,
3,3,LOW_BATTERY,,1,,,,
3,3,TASK_COMPLETE,19,2,,,,
3,3,LOW_BATTERY,,2,,,,
3,3,TASK_COMPLETE,15,3,,,,
3,3,LOW_BATTERY,,3,,,,
3,3,TASK_COMPLETE,30,4,,,,
3,3,CHARGING_REQUEST,,4,,,,UAV requests charging
3,3,CHARGING_START,,4,2,464,366,Charging started
3,3,TASK_COMPLETE,9,5,,,,
3,3,CHARGING_REQUEST,,5,,,,UAV requests charging
3,3,CHARGING_START,,5,2,462,375,Charging started
4,4,AGV_MOVE_START,21,,1,811,98,AGV starts moving to relay point
4,4,TASK_ASSIGNED,21,1,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,21,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,20,2,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,20,,1,,,Relay support requested for task
4,4,TASK_ASSIGNED,17,4,1,,,Task assigned to UAV
4,4,RELAY_REQUEST,17,,1,,,Relay support requested for task
