step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,AGV_MOVE_START,30,,1,811,98,AGV starts moving to relay point
0,0,TASK_ASSIGNED,30,2,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,30,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,9,3,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,9,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,7,5,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,7,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,13,4,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,13,,1,,,Relay support requested for task
0,0,TASK_ASSIGNED,15,1,1,,,Task assigned to UAV
0,0,RELAY_REQUEST,15,,1,,,Relay support requested for task
0,0,RELAY_REQUEST,30,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,9,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,7,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,13,,,,,Relay via AGV 1
0,0,RELAY_REQUEST,15,,,,,Relay via AGV 1
0,0,WAIT_FOR_AGV_START,7,5,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,9,3,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,13,4,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,15,1,,,,Task starts waiting for AGV
0,0,WAIT_FOR_AGV_START,30,2,,,,Task starts waiting for AGV
10,10,RELAY_FALLBACK,15,1,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,15,1,,,,
10,10,RELAY_FALLBACK,30,2,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,30,2,,,,
10,10,RELAY_FALLBACK,9,3,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,9,3,,,,
10,10,RELAY_FALLBACK,13,4,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,13,4,,,,
10,10,RELAY_FALLBACK,7,5,,,,"AGV took too long, falling back to direct delivery"
10,10,RELAY_FALLBACK_START,7,5,,,,
11,11,WAIT_FOR_AGV_END,7,5,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,9,3,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,13,4,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,15,1,,,,Task stops waiting for AGV
11,11,WAIT_FOR_AGV_END,30,2,,,,Task stops waiting for AGV
11,11,TASK_COMPLETE,15,1,,,,
11,11,TASK_COMPLETE,30,2,,,,
11,11,TASK_COMPLETE,9,3,,,,
11,11,TASK_COMPLETE,13,4,,,,
11,11,TASK_COMPLETE,7,5,,,,
12,12,AGV_MOVE_START,20,,2,464,613,AGV starts moving to relay point
12,12,TASK_ASSIGNED,20,3,2,,,Task assigned to UAV
12,12,RELAY_REQUEST,20,,2,,,Relay support requested for task
12,12,TASK_ASSIGNED,27,2,2,,,Task assigned to UAV
12,12,RELAY_REQUEST,27,,2,,,Relay support requested for task
12,12,TASK_ASSIGNED,21,4,2,,,Task assigned to UAV
12,12,RELAY_REQUEST,21,,2,,,Relay support requested for task
12,12,TASK_ASSIGNED,5,5,2,,,Task assigned to UAV
12,12,RELAY_REQUEST,5,,2,,,Relay support requested for task
12,12,TASK_ASSIGNED,17,1,2,,,Task assigned to UAV
12,12,RELAY_REQUEST,17,,2,,,Relay support requested for task
12,12,RELAY_REQUEST,20,,,,,Relay via AGV 2
12,12,RELAY_REQUEST,27,,,,,Relay via AGV 2
12,12,RELAY_REQUEST,21,,,,,Relay via AGV 2
12,12,RELAY_REQUEST,5,,,,,Relay via AGV 2
12,12,RELAY_REQUEST,17,,,,,Relay via AGV 2
12,12,WAIT_FOR_AGV_START,5,5,,,,Task starts waiting for AGV
12,12,WAIT_FOR_AGV_START,17,1,,,,Task starts waiting for AGV
12,12,WAIT_FOR_AGV_START,20,3,,,,Task starts waiting for AGV
12,12,WAIT_FOR_AGV_START,21,4,,,,Task starts waiting for AGV
12,12,WAIT_FOR_AGV_START,27,2,,,,Task starts waiting for AGV
12,12,RELAY_FALLBACK,17,1,,,,"AGV took too long, falling back to direct delivery"
12,12,RELAY_FALLBACK_START,17,1,,,,
12,12,RELAY_FALLBACK,27,2,,,,"AGV took too long, falling back to direct delivery"
12,12,RELAY_FALLBACK_START,27,2,,,,
